feature
transport_code
dns_id
query_type
response_type
query_length
response_length
payload_size
ttl
answer_count
additional_count
has_txt_record
has_null_record
is_recursive
truncated_flag
authoritative_flag
rcode
response_time
response_ratio
tcp_stream_id
segment_count
tcp_payload_size
window_size
tcp_flags
dns_length_field
message_count
avg_message_size
max_message_size
query_entropy
label_entropy
subdomain_count
max_label_length
avg_label_length
unique_chars
digit_ratio
consonant_ratio
hex_ratio
inter_arrival_time
query_rate
unique_domains
retransmission_count
retransmission_ratio
timestamp_hour
timestamp_dayofweek
response_to_query_ratio_len
payload_to_query_ratio
payload_to_response_ratio
entropy_per_query_char
label_entropy_per_max_label
chars_per_label
query_rate_per_iat
high_entropy_long_query
digit_hex_mix
txt_or_null_record
tcp_payload_to_dns_payload_ratio
segments_per_message
message_size_spread
retransmission_payload_pressure
nxdomain_flag
