accuracy,precision,recall,f1,roc_auc,avg_precision,model
1.0,1.0,1.0,1.0,1.0,1.0,random_forest
0.9999660804233164,0.9999764362128282,0.9999293119698398,0.9999528735361343,0.9999999978149757,0.9999999961136543,xgboost
0.9999067211641198,0.9999528668724813,0.9997879359095193,0.9998703945895633,0.9999999840805379,0.9999999716777204,logistic_regression
